nreg,num,nazva,status,card,issuer,doc_type,date_revision,publics,link,size,word_count,char_count,minio_path,created_at
n0124500-26,1.,Про облікову ціну банківських металів,Не визначено,Національний банк; Повідомлення від 27.03.2026,Національний банк,Повідомлення,27.03.2026,Не опубліковано,https://zakon.rada.gov.ua/go/n0124500-26,4123,162,947,documents/n0124500-26.md,2026-03-28 22:56:23.472071
n0123500-26,2.,Про офіційний курс гривні щодо іноземних валют,Не визначено,Національний банк; Повідомлення від 27.03.2026,Національний банк,Повідомлення,27.03.2026,Не опубліковано,https://zakon.rada.gov.ua/go/n0123500-26,25115,621,2725,documents/n0123500-26.md,2026-03-28 22:56:23.483408
n0122500-26,3.,Про облікову ціну банківських металів,Не визначено,Національний банк; Повідомлення від 26.03.2026,Національний банк,Повідомлення,26.03.2026,Не опубліковано,https://zakon.rada.gov.ua/go/n0122500-26,4071,268,2438,documents/n0122500-26.md,2026-03-28 22:56:23.490704
n0121500-26,4.,Про офіційний курс гривні щодо іноземних валют,Не визначено,Національний банк; Повідомлення від 26.03.2026,Національний банк,Повідомлення,26.03.2026,Не опубліковано,https://zakon.rada.gov.ua/go/n0121500-26,25115,268,2438,documents/n0121500-26.md,2026-03-28 22:56:23.504275
264-2026-%D1%80,5.,Про присвоєння Хромову А.В. першого рангу державного службовця,Чинний,Розпорядження Кабінету Міністрів України від 25.03.2026 № 264-р,Розпорядження Кабінету Міністрів України від 25.03.2026 № 264-р,,,Не опубліковано,https://zakon.rada.gov.ua/go/264-2026-%D1%80,1422,121,853,documents/264-2026-%D1%80.md,2026-03-28 22:56:23.511522
263-2026-%D1%80,6.,Про тимчасове покладення виконання обов'язків Голови Національної соціальної сервісної служби України на Ільченка І.О.,Чинний,Розпорядження Кабінету Міністрів України від 25.03.2026 № 263-р,Розпорядження Кабінету Міністрів України від 25.03.2026 № 263-р,,,Не опубліковано,https://zakon.rada.gov.ua/go/263-2026-%D1%80,1501,268,2438,documents/263-2026-%D1%80.md,2026-03-28 22:56:23.518337
262-2026-%D1%80,7.,"Про визнання таким, що втратило чинність, розпорядження Кабінету Міністрів України від 25 лютого 2026 р. № 177",Чинний,Розпорядження Кабінету Міністрів України від 25.03.2026 № 262-р,Розпорядження Кабінету Міністрів України від 25.03.2026 № 262-р,,,Не опубліковано,https://zakon.rada.gov.ua/go/262-2026-%D1%80,1575,268,2438,documents/262-2026-%D1%80.md,2026-03-28 22:56:23.524123
261-2026-%D1%80,8.,Про призначення Баніка М.С. заступником Міністра оборони України,Чинний,Розпорядження Кабінету Міністрів України від 25.03.2026 № 261-р,Розпорядження Кабінету Міністрів України від 25.03.2026 № 261-р,,,Не опубліковано,https://zakon.rada.gov.ua/go/261-2026-%D1%80,1254,66,685,documents/261-2026-%D1%80.md,2026-03-28 22:56:23.529630
260-2026-%D1%80,9.,Про звільнення Мироненка Ю.М. з посади заступника Міністра оборони України,Чинний,Розпорядження Кабінету Міністрів України від 25.03.2026 № 260-р,Розпорядження Кабінету Міністрів України від 25.03.2026 № 260-р,,,Не опубліковано,https://zakon.rada.gov.ua/go/260-2026-%D1%80,1290,117,768,documents/260-2026-%D1%80.md,2026-03-28 22:56:23.534435
n0120500-26,10.,Про облікову ціну банківських металів,Не визначено,Національний банк; Повідомлення від 25.03.2026,Національний банк,Повідомлення,25.03.2026,Не опубліковано,https://zakon.rada.gov.ua/go/n0120500-26,4128,162,947,documents/n0120500-26.md,2026-03-28 22:56:23.540969
